STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;FREQ;Fréquence;GEO_PICT;Pays et territoires insulaires du Pacifique;INDICATOR;Indicateur;SEX;Sexe;AGE;Âge;URBANIZATION;Urbanisation;DISABILITY;Invalidité;EDUCATION;Niveau d'éducation;TIME_PERIOD;Période;OBS_VALUE;Valeur observée;UNIT_MEASURE;Unité de mesure;UNIT_MULT;Multiplicateur d'unités;OBS_STATUS;Statut de l'observation;DATA_SOURCE;Source de données;OBS_COMMENT;Commentaire;CONF_STATUS;Confidentialité
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;_T;Pas de ventilation par handicap;_T;Tous les niveaux d'enseignement;2020;;31822;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;_T;Pas de ventilation par handicap;0;L'éducation de la petite enfance;2020;;978;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;_T;Pas de ventilation par handicap;1;Enseignement primaire;2020;;3103;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;_T;Pas de ventilation par handicap;2;Enseignement secondaire inférieur;2020;;10892;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;_T;Pas de ventilation par handicap;3;L'enseignement secondaire supérieur;2020;;13957;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;_T;Pas de ventilation par handicap;4;Enseignement post-secondaire non supérieur;2020;;696;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;_T;Pas de ventilation par handicap;5-8;Éducation tertiaire;2020;;1474;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;_T;Pas de ventilation par handicap;9;Niveau non indiqué;2020;;722;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PD;Personnes handicapées;_T;Tous les niveaux d'enseignement;2020;;2424;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PD;Personnes handicapées;0;L'éducation de la petite enfance;2020;;273;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PD;Personnes handicapées;1;Enseignement primaire;2020;;518;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PD;Personnes handicapées;2;Enseignement secondaire inférieur;2020;;1077;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PD;Personnes handicapées;3;L'enseignement secondaire supérieur;2020;;412;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PD;Personnes handicapées;4;Enseignement post-secondaire non supérieur;2020;;30;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PD;Personnes handicapées;5-8;Éducation tertiaire;2020;;47;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PD;Personnes handicapées;9;Niveau non indiqué;2020;;67;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PWD;Personnes sans handicap;_T;Tous les niveaux d'enseignement;2020;;29398;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PWD;Personnes sans handicap;0;L'éducation de la petite enfance;2020;;705;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PWD;Personnes sans handicap;1;Enseignement primaire;2020;;2585;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PWD;Personnes sans handicap;2;Enseignement secondaire inférieur;2020;;9815;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PWD;Personnes sans handicap;3;L'enseignement secondaire supérieur;2020;;13545;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PWD;Personnes sans handicap;4;Enseignement post-secondaire non supérieur;2020;;666;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PWD;Personnes sans handicap;5-8;Éducation tertiaire;2020;;1427;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;U;Urbain;PWD;Personnes sans handicap;9;Niveau non indiqué;2020;;655;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;_T;Pas de ventilation par handicap;_T;Tous les niveaux d'enseignement;2020;;21608;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;_T;Pas de ventilation par handicap;0;L'éducation de la petite enfance;2020;;826;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;_T;Pas de ventilation par handicap;1;Enseignement primaire;2020;;3367;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;_T;Pas de ventilation par handicap;2;Enseignement secondaire inférieur;2020;;9604;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;_T;Pas de ventilation par handicap;3;L'enseignement secondaire supérieur;2020;;6863;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;_T;Pas de ventilation par handicap;4;Enseignement post-secondaire non supérieur;2020;;260;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;_T;Pas de ventilation par handicap;5-8;Éducation tertiaire;2020;;370;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;_T;Pas de ventilation par handicap;9;Niveau non indiqué;2020;;318;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PD;Personnes handicapées;_T;Tous les niveaux d'enseignement;2020;;2092;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PD;Personnes handicapées;0;L'éducation de la petite enfance;2020;;322;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PD;Personnes handicapées;1;Enseignement primaire;2020;;607;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PD;Personnes handicapées;2;Enseignement secondaire inférieur;2020;;852;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PD;Personnes handicapées;3;L'enseignement secondaire supérieur;2020;;243;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PD;Personnes handicapées;4;Enseignement post-secondaire non supérieur;2020;;11;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PD;Personnes handicapées;5-8;Éducation tertiaire;2020;;14;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PD;Personnes handicapées;9;Niveau non indiqué;2020;;43;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PWD;Personnes sans handicap;_T;Tous les niveaux d'enseignement;2020;;19516;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PWD;Personnes sans handicap;0;L'éducation de la petite enfance;2020;;504;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PWD;Personnes sans handicap;1;Enseignement primaire;2020;;2760;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PWD;Personnes sans handicap;2;Enseignement secondaire inférieur;2020;;8752;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PWD;Personnes sans handicap;3;L'enseignement secondaire supérieur;2020;;6620;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PWD;Personnes sans handicap;4;Enseignement post-secondaire non supérieur;2020;;249;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PWD;Personnes sans handicap;5-8;Éducation tertiaire;2020;;356;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;_T;Tous les âges;R;Rural;PWD;Personnes sans handicap;9;Niveau non indiqué;2020;;275;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;Y25T54;25-54;_T;National;_T;Pas de ventilation par handicap;_T;Tous les niveaux d'enseignement;2020;;42005;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;Y25T54;25-54;_T;National;_T;Pas de ventilation par handicap;0;L'éducation de la petite enfance;2020;;936;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;Y25T54;25-54;_T;National;_T;Pas de ventilation par handicap;1;Enseignement primaire;2020;;3520;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;Y25T54;25-54;_T;National;_T;Pas de ventilation par handicap;2;Enseignement secondaire inférieur;2020;;14760;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;Y25T54;25-54;_T;National;_T;Pas de ventilation par handicap;3;L'enseignement secondaire supérieur;2020;;19708;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;Y25T54;25-54;_T;National;_T;Pas de ventilation par handicap;4;Enseignement post-secondaire non supérieur;2020;;822;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;Y25T54;25-54;_T;National;_T;Pas de ventilation par handicap;5-8;Éducation tertiaire;2020;;1550;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;Y25T54;25-54;_T;National;_T;Pas de ventilation par handicap;9;Niveau non indiqué;2020;;709;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;Y25T54;25-54;_T;National;PD;Personnes handicapées;_T;Tous les niveaux d'enseignement;2020;;1854;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_EDUCATION(1.0);Niveau d'éducation atteint par pays, âge, sexe, urbanisation et statut de handicap;I;A;Annuel;KI;Kiribati;POPCNT;Population;_T;Total;Y25T54;25-54;_T;National;PD;Personnes handicapées;0;L'éducation de la petite enfance;2020;;197;;N;unités;;;;;;;;;;
