STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;FREQ;Fréquence;GEO_PICT;Pays et territoires insulaires du Pacifique;INDICATOR;Indicateur;SEX;Sexe;URBANIZATION;Urbanisation;DISABILITY;Invalidité;TIME_PERIOD;Période;OBS_VALUE;Valeur observée;UNIT_MEASURE;Unité de mesure;UNIT_MULT;Multiplicateur d'unités;OBS_STATUS;Statut de l'observation;DATA_SOURCE;Source de données;OBS_COMMENT;Commentaire;CONF_STATUS;Confidentialité
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;PD;Personnes handicapées;2015;;42;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;PD;Personnes handicapées;2019;;73;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PWD;Personnes sans handicap;2015;;45.61;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PWD;Personnes sans handicap;2019;;44.05;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;R;Rural;PD;Personnes handicapées;2015;;42;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;R;Rural;PD;Personnes handicapées;2019;;39.79;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2015;;45.02;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2019;;44.65;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TV;Tuvalu;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2015;;446;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TV;Tuvalu;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2017;;586;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TV;Tuvalu;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;_T;Pas de ventilation par handicap;2015;;41.83;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TV;Tuvalu;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;_T;Pas de ventilation par handicap;2017;;44.63;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PWD;Personnes sans handicap;2016;;573;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PWD;Personnes sans handicap;2018;;787;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PWD;Personnes sans handicap;2021;;357;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2016;;1054;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2018;;1424;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2021;;623;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;_T;Pas de ventilation par handicap;2016;;21.27;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;_T;Pas de ventilation par handicap;2018;;25.95;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;_T;Pas de ventilation par handicap;2021;;12.88;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TV;Tuvalu;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;_T;Total;R;Rural;PD;Personnes handicapées;2017;;8;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TV;Tuvalu;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;M;Homme;R;Rural;PWD;Personnes sans handicap;2017;;51.12;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;MH;Îles Marshall (pays);NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;PWD;Personnes sans handicap;2019;;1789;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;MH;Îles Marshall (pays);NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;R;Rural;PWD;Personnes sans handicap;2019;;44.09;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;VU;Vanuatu;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;PWD;Personnes sans handicap;2019;;2083;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;VU;Vanuatu;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PWD;Personnes sans handicap;2019;;31.24;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;MH;Îles Marshall (pays);NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2011;;46.9;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;MH;Îles Marshall (pays);NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2019;;40.35;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;NR;Nauru;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;_T;National;_T;Pas de ventilation par handicap;2011;;49.18;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;NR;Nauru;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;_T;National;_T;Pas de ventilation par handicap;2012;;39.05;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;SB;Salomon;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;_T;Pas de ventilation par handicap;2012;;21876;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;SB;Salomon;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;_T;Pas de ventilation par handicap;2012;;32.57;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;FM;États fédérés de Micronésie (pays);NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;_T;National;_T;Pas de ventilation par handicap;2013;;4139;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;FM;États fédérés de Micronésie (pays);NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;_T;Pas de ventilation par handicap;2013;;40.18;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;PW;Palaos;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;_T;Pas de ventilation par handicap;2013;;144;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;PW;Palaos;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;_T;Pas de ventilation par handicap;2015;;156;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;PW;Palaos;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;_T;Pas de ventilation par handicap;2013;;85;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;PW;Palaos;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;_T;Pas de ventilation par handicap;2015;;172;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;PW;Palaos;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;_T;Pas de ventilation par handicap;2013;;13.28;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;PW;Palaos;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;_T;Pas de ventilation par handicap;2015;;17.65;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;CK;Îles Cook;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;_T;Pas de ventilation par handicap;2015;;72;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;CK;Îles Cook;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;_T;Pas de ventilation par handicap;2015;;20.94;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;CK;Îles Cook;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;_T;Pas de ventilation par handicap;2015;;9.15;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;PWD;Personnes sans handicap;2015;;2632;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;PWD;Personnes sans handicap;2019;;2497;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;KI;Kiribati;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PD;Personnes handicapées;2015;;47.17;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;PW;Palaos;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;_T;National;PWD;Personnes sans handicap;2015;;16.48;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TK;Tokelau;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;_T;Pas de ventilation par handicap;2015;;16;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PD;Personnes handicapées;2016;;9;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;R;Rural;PWD;Personnes sans handicap;2016;;1939;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;R;Rural;PWD;Personnes sans handicap;2018;;1997;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;R;Rural;PWD;Personnes sans handicap;2021;;1383;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;R;Rural;PWD;Personnes sans handicap;2016;;33.33;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;R;Rural;PWD;Personnes sans handicap;2018;;32.11;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;R;Rural;PWD;Personnes sans handicap;2021;;25.73;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;_T;Pas de ventilation par handicap;2016;;31.87;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;_T;Pas de ventilation par handicap;2018;;31.52;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;_T;Pas de ventilation par handicap;2021;;24.11;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PD;Personnes handicapées;2016;;34.62;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;M;Homme;R;Rural;PWD;Personnes sans handicap;2016;;27.32;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;M;Homme;R;Rural;PWD;Personnes sans handicap;2018;;29.86;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;M;Homme;R;Rural;PWD;Personnes sans handicap;2021;;21.41;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;R;Rural;_T;Pas de ventilation par handicap;2016;;30.32;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;R;Rural;_T;Pas de ventilation par handicap;2018;;31.27;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TO;Tonga;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;R;Rural;_T;Pas de ventilation par handicap;2021;;23.84;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TV;Tuvalu;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PWD;Personnes sans handicap;2017;;281;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TV;Tuvalu;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;PWD;Personnes sans handicap;2017;;301;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;TV;Tuvalu;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;F;Femme;U;Urbain;PWD;Personnes sans handicap;2017;;49.73;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;MH;Îles Marshall (pays);NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;PWD;Personnes sans handicap;2019;;1152;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;MH;Îles Marshall (pays);NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;M;Homme;U;Urbain;PWD;Personnes sans handicap;2019;;35.74;;PERCENT;pourcents;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;VU;Vanuatu;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;F;Femme;_T;National;PD;Personnes handicapées;2019;;119;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;VU;Vanuatu;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;_T;Total;R;Rural;PD;Personnes handicapées;2019;;176;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;VU;Vanuatu;NEETAF;Nombre de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2019;;4392;;N;unités;;;;;;;;;;
DATAFLOW;SPC:DF_NEET(1.0);NEET - Jeunes non scolarisés, sans emploi ni formation (15-24 ans);I;A;Annuel;VU;Vanuatu;NEETRF;Proportion de jeunes personnes sans études, emploi ni formation;_T;Total;U;Urbain;_T;Pas de ventilation par handicap;2019;;31.05;;PERCENT;pourcents;;;;;;;;;;
